Performance Statistics   2020-01-28 21:56:00 - 2020-01-28 21:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-01-28 22:10:00 - 2020-01-28 22:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.sec$Group.browse                              603,0         603         603         0,0           1
MenuItem.sec$User.browse                               198,0         198         198         0,0           1
MenuItem.serverLog                                     347,0         347         347         0,0           1
MenuItem.sys$Category.browse                           142,5          48         237        94,5           2
MenuItem.sys$ScheduledTask.browse                     1228,0        1228        1228         0,0           1
attributesLocationFrame#companion                        5,0           5           5         0,0           1
attributesLocationFrame#create                           0,0           0           0         0,0           1
attributesLocationFrame#inject                           4,0           4           4         0,0           1
attributesLocationFrame#load                           142,0         142         142         0,0           1
attributesLocationFrame#xml                              1,0           0           2         1,0           2
categoryAttrsFrame#create                                2,0           2           2         0,0           1
categoryAttrsFrame#xml                                   0,0           0           0         0,0           2
editWindowActions#create                                 1,0           1           1         0,0           1
editWindowActions#xml                                    6,0           0          12         6,0           2
login#afterShow                                          0,0           0           0         0,0           1
login#beforeShow                                         3,0           3           3         0,0           1
login#create                                           118,0         118         118         0,0           1
login#init                                              21,0          21          21         0,0           1
login#inject                                            88,0          88          88         0,0           1
login#load                                             470,0         470         470         0,0           1
login#uiPermissions                                      0,0           0           0         0,0           1
login#xml                                                8,0           8           8         0,0           1
lookupWindowActions#create                               6,0           0          18         8,5           3
lookupWindowActions#inject                               1,7           0           5         2,4           3
lookupWindowActions#load                                 2,3           1           5         1,9           3
lookupWindowActions#xml                                  0,2           0           1         0,4           6
main#afterShow                                          17,0          12          22         5,0           2
main#beforeShow                                          0,0           0           0         0,0           2
main#create                                             19,0           9          29        10,0           2
main#init                                                5,5           0          11         5,5           2
main#inject                                              4,5           0           9         4,5           2
main#load                                              108,5          26         191        82,5           2
main#uiPermissions                                       0,0           0           0         0,0           2
main#xml                                                 2,0           1           3         1,0           2
sec$Group.browse#afterShow                               0,0           0           0         0,0           1
sec$Group.browse#beforeShow                              0,0           0           0         0,0           1
sec$Group.browse#companion                               2,0           2           2         0,0           1
sec$Group.browse#create                                  2,0           2           2         0,0           1
sec$Group.browse#init                                  202,0         202         202         0,0           1
sec$Group.browse#inject                                 10,0          10          10         0,0           1
sec$Group.browse#load                                  317,0         317         317         0,0           1
sec$Group.browse#uiPermissions                           0,0           0           0         0,0           1
sec$Group.browse#xml                                     8,0           0          16         8,0           2
sec$Group.browse@attributesDs                           13,0          13          13         0,0           1
sec$Group.browse@constraintsDs                          22,0          22          22         0,0           1
sec$Group.browse@groupsDs                               42,0          42          42         0,0           1
sec$Group.browse@usersDs                                22,0          22          22         0,0           1
sec$User.browse#afterShow                                0,0           0           0         0,0           1
sec$User.browse#beforeShow                               0,0           0           0         0,0           1
sec$User.browse#create                                   1,0           1           1         0,0           1
sec$User.browse#init                                     5,0           5           5         0,0           1
sec$User.browse#inject                                   9,0           9           9         0,0           1
sec$User.browse#load                                    34,0          34          34         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                      5,0           0          10         5,0           2
sec$User.browse.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.browse@usersDs                                 38,0          38          38         0,0           1
serverLog#afterShow                                      0,0           0           0         0,0           1
serverLog#beforeShow                                     0,0           0           0         0,0           1
serverLog#create                                         2,0           2           2         0,0           1
serverLog#init                                          94,0          94          94         0,0           1
serverLog#inject                                        18,0          18          18         0,0           1
serverLog#load                                         194,0         194         194         0,0           1
serverLog#uiPermissions                                  0,0           0           0         0,0           1
serverLog#xml                                           10,0           0          20        10,0           2
serverLog@jmxInstancesDs                                10,0          10          10         0,0           1
sys$Category.browse#afterShow                            0,0           0           0         0,0           2
sys$Category.browse#beforeShow                           0,0           0           0         0,0           2
sys$Category.browse#create                               1,0           0           2         1,0           2
sys$Category.browse#init                                 4,0           0           8         4,0           2
sys$Category.browse#inject                              17,0           0          34        17,0           2
sys$Category.browse#load                                47,0          10          84        37,0           2
sys$Category.browse#uiPermissions                        0,0           0           0         0,0           2
sys$Category.browse#xml                                  4,5           0          18         7,8           4
sys$Category.browse.lookupWindowActions#init             0,0           0           0         0,0           2
sys$Category.browse@categoriesDs                        15,5          13          18         2,5           2
sys$Category.edit#afterShow                              0,0           0           0         0,0           1
sys$Category.edit#beforeShow                            18,0          18          18         0,0           1
sys$Category.edit#create                                 1,0           1           1         0,0           1
sys$Category.edit#init                                   1,0           1           1         0,0           1
sys$Category.edit#inject                                11,0          11          11         0,0           1
sys$Category.edit#load                                 214,0         214         214         0,0           1
sys$Category.edit#uiPermissions                          0,0           0           0         0,0           1
sys$Category.edit#xml                                    0,2           0           1         0,4           5
sys$Category.edit.attributesLocationFrame#init          25,0          25          25         0,0           1
sys$Category.edit.categoryAttrsFrame#init                4,0           4           4         0,0           1
sys$Category.edit.categoryAttrsFrame#inject              4,0           4           4         0,0           1
sys$Category.edit.categoryAttrsFrame#load                3,0           3           3         0,0           1
sys$Category.edit.windowActions#init                     0,0           0           0         0,0           1
sys$Category.edit.windowActions#inject                   0,0           0           0         0,0           1
sys$Category.edit.windowActions#load                     0,0           0           0         0,0           1
sys$ScheduledTask.browse#afterShow                       0,0           0           0         0,0           1
sys$ScheduledTask.browse#beforeShow                      0,0           0           0         0,0           1
sys$ScheduledTask.browse#create                         11,0          11          11         0,0           1
sys$ScheduledTask.browse#init                           19,0          19          19         0,0           1
sys$ScheduledTask.browse#inject                         20,0          20          20         0,0           1
sys$ScheduledTask.browse#load                          500,0         500         500         0,0           1
sys$ScheduledTask.browse#uiPermissions                   0,0           0           0         0,0           1
sys$ScheduledTask.browse#xml                             1,0           0           2         1,0           2
sys$ScheduledTask.browse@tasksDs                       129,0          12         358       161,9           3

Performance Statistics   2020-01-28 22:22:00 - 2020-01-28 22:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
login#afterShow                                          0,0           0           0         0,0           1
login#beforeShow                                         2,0           2           2         0,0           1
login#create                                           140,0         140         140         0,0           1
login#init                                              15,0          15          15         0,0           1
login#inject                                            38,0          38          38         0,0           1
login#load                                             454,0         454         454         0,0           1
login#uiPermissions                                      0,0           0           0         0,0           1
login#xml                                                9,0           9           9         0,0           1
main#afterShow                                          17,0          17          17         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                             14,0          14          14         0,0           1
main#init                                               12,0          12          12         0,0           1
main#inject                                              9,0           9           9         0,0           1
main#load                                              184,0         184         184         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 3,0           3           3         0,0           1

Performance Statistics   2020-01-28 22:24:00 - 2020-01-28 22:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.entityInspector.browse                        183,0         183         183         0,0           1
MenuItem.sys$ScheduledTask.browse                     1408,0        1408        1408         0,0           1
entityInspector.browse#afterShow                         0,0           0           0         0,0           1
entityInspector.browse#beforeShow                        0,0           0           0         0,0           1
entityInspector.browse#companion                         1,0           1           1         0,0           1
entityInspector.browse#create                            3,0           3           3         0,0           1
entityInspector.browse#init                             91,0          91          91         0,0           1
entityInspector.browse#inject                           31,0          31          31         0,0           1
entityInspector.browse#load                              6,0           6           6         0,0           1
entityInspector.browse#uiPermissions                     0,0           0           0         0,0           1
entityInspector.browse#xml                               3,0           0           6         3,0           2
entityInspector.browse.lookupWindowActions#init          0,0           0           0         0,0           1
entityInspector.browse@entitiesDs                       42,0          42          42         0,0           1
lookupWindowActions#create                              18,0          18          18         0,0           1
lookupWindowActions#inject                               5,0           5           5         0,0           1
lookupWindowActions#load                                 5,0           5           5         0,0           1
lookupWindowActions#xml                                  0,5           0           1         0,5           2
sys$ScheduledTask.browse#afterShow                       0,0           0           0         0,0           1
sys$ScheduledTask.browse#beforeShow                      0,0           0           0         0,0           1
sys$ScheduledTask.browse#create                         18,0          18          18         0,0           1
sys$ScheduledTask.browse#init                           21,0          21          21         0,0           1
sys$ScheduledTask.browse#inject                         27,0          27          27         0,0           1
sys$ScheduledTask.browse#load                          677,0         677         677         0,0           1
sys$ScheduledTask.browse#uiPermissions                   0,0           0           0         0,0           1
sys$ScheduledTask.browse#xml                             1,0           0           2         1,0           2
sys$ScheduledTask.browse@tasksDs                       445,0         445         445         0,0           1

Performance Statistics   2020-01-28 22:26:00 - 2020-01-28 22:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.sys$ScheduledTask.browse                      202,0         202         202         0,0           1
editWindowActions#create                                 4,0           4           4         0,0           1
editWindowActions#xml                                    0,5           0           1         0,5           2
sys$ScheduledTask.browse#afterShow                       0,0           0           0         0,0           1
sys$ScheduledTask.browse#beforeShow                      1,0           1           1         0,0           1
sys$ScheduledTask.browse#create                          0,0           0           0         0,0           1
sys$ScheduledTask.browse#init                            1,0           1           1         0,0           1
sys$ScheduledTask.browse#inject                          0,0           0           0         0,0           1
sys$ScheduledTask.browse#load                            9,0           9           9         0,0           1
sys$ScheduledTask.browse#uiPermissions                   0,0           0           0         0,0           1
sys$ScheduledTask.browse#xml                             0,0           0           0         0,0           2
sys$ScheduledTask.browse@tasksDs                        16,0          16          16         0,0           1
sys$ScheduledTask.edit#afterShow                         0,0           0           0         0,0           1
sys$ScheduledTask.edit#beforeShow                        0,0           0           0         0,0           1
sys$ScheduledTask.edit#create                            3,0           3           3         0,0           1
sys$ScheduledTask.edit#init                            292,0         292         292         0,0           1
sys$ScheduledTask.edit#inject                           11,0          11          11         0,0           1
sys$ScheduledTask.edit#load                            455,0         455         455         0,0           1
sys$ScheduledTask.edit#uiPermissions                     0,0           0           0         0,0           1
sys$ScheduledTask.edit#xml                               0,8           0           4         1,6           5
sys$ScheduledTask.edit.windowActions#init                0,0           0           0         0,0           1
sys$ScheduledTask.edit.windowActions#inject              0,0           0           0         0,0           1
sys$ScheduledTask.edit.windowActions#load                0,0           0           0         0,0           1

Performance Statistics   2020-01-28 22:28:00 - 2020-01-28 22:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

